filename,food_type,count,level
NIST_POS_Samp_07-01.mzXML,11442.G72442,22,0
NIST_POS_Samp_07-01.mzXML,11442.G72443,34,0
NIST_POS_Samp_07-01.mzXML,11442.G72444,26,0
NIST_POS_Samp_07-01.mzXML,11442.G72445,14,0
NIST_POS_Samp_07-01.mzXML,11442.G72446,17,0
NIST_POS_Samp_07-01.mzXML,11442.G72447,41,0
NIST_POS_Samp_07-01.mzXML,11442.G72448,9,0
NIST_POS_Samp_07-01.mzXML,11442.G72454,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72455,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72456,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72457,3,0
NIST_POS_Samp_07-01.mzXML,11442.G72458,11,0
NIST_POS_Samp_07-01.mzXML,11442.G72459,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72460,9,0
NIST_POS_Samp_07-01.mzXML,11442.G72461,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72462,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72463,13,0
NIST_POS_Samp_07-01.mzXML,11442.G72465,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72466,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72467,3,0
NIST_POS_Samp_07-01.mzXML,11442.G72468,9,0
NIST_POS_Samp_07-01.mzXML,11442.G72469,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72473,15,0
NIST_POS_Samp_07-01.mzXML,11442.G72474,12,0
NIST_POS_Samp_07-01.mzXML,11442.G72477,31,0
NIST_POS_Samp_07-01.mzXML,11442.G72479,4,0
NIST_POS_Samp_07-01.mzXML,11442.G72481,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72482,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72483,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72484,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72490,25,0
NIST_POS_Samp_07-01.mzXML,11442.G72491,15,0
NIST_POS_Samp_07-01.mzXML,11442.G72494,13,0
NIST_POS_Samp_07-01.mzXML,11442.G72495,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72496,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72499,36,0
NIST_POS_Samp_07-01.mzXML,11442.G72501,16,0
NIST_POS_Samp_07-01.mzXML,11442.G72506,43,0
NIST_POS_Samp_07-01.mzXML,11442.G72509,10,0
NIST_POS_Samp_07-01.mzXML,11442.G72510,10,0
NIST_POS_Samp_07-01.mzXML,11442.G72515,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72516,9,0
NIST_POS_Samp_07-01.mzXML,11442.G72519,4,0
NIST_POS_Samp_07-01.mzXML,11442.G72520,21,0
NIST_POS_Samp_07-01.mzXML,11442.G72522,10,0
NIST_POS_Samp_07-01.mzXML,11442.G72524,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72525,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72526,11,0
NIST_POS_Samp_07-01.mzXML,11442.G72527,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72528,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72530,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72531,24,0
NIST_POS_Samp_07-01.mzXML,11442.G72539,20,0
NIST_POS_Samp_07-01.mzXML,11442.G72642,14,0
