filename,food_type,count,level
NIST_POS_Samp_07-01.mzXML,11442.G72441,9,0
NIST_POS_Samp_07-01.mzXML,11442.G72449,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72450,3,0
NIST_POS_Samp_07-01.mzXML,11442.G72451,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72452,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72453,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72464,4,0
NIST_POS_Samp_07-01.mzXML,11442.G72470,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72471,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72472,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72475,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72478,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72480,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72485,3,0
NIST_POS_Samp_07-01.mzXML,11442.G72492,3,0
NIST_POS_Samp_07-01.mzXML,11442.G72493,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72497,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72498,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72500,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72502,3,0
NIST_POS_Samp_07-01.mzXML,11442.G72503,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72504,21,0
NIST_POS_Samp_07-01.mzXML,11442.G72505,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72507,4,0
NIST_POS_Samp_07-01.mzXML,11442.G72508,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72511,13,0
NIST_POS_Samp_07-01.mzXML,11442.G72512,12,0
NIST_POS_Samp_07-01.mzXML,11442.G72513,10,0
NIST_POS_Samp_07-01.mzXML,11442.G72514,4,0
NIST_POS_Samp_07-01.mzXML,11442.G72517,19,0
NIST_POS_Samp_07-01.mzXML,11442.G72518,4,0
NIST_POS_Samp_07-01.mzXML,11442.G72521,6,0
NIST_POS_Samp_07-01.mzXML,11442.G72523,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72529,8,0
NIST_POS_Samp_07-01.mzXML,11442.G72532,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72533,10,0
NIST_POS_Samp_07-01.mzXML,11442.G72534,5,0
NIST_POS_Samp_07-01.mzXML,11442.G72537,7,0
NIST_POS_Samp_07-01.mzXML,11442.G72538,4,0
NIST_POS_Samp_07-01.mzXML,11442.G72540,9,0
